property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price,floor_number
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,644.0,New Property,Poss. by Oct '24,5 out of 10,Unfurnished,West,2891.0,33.8,5.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1278.0,New Property,Poss. by Jan '26,6 out of 14,Unfurnished,South -West,3551.0,45.4,6.0
2 BHK Apartment for Sale in Pal Gam Surat,Super Area,1173.0,Resale,Ready to Move,5 out of 13,Semi-Furnished,East,3800.0,44.6,5.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,700.0,New Property,Ready to Move,6 out of 14,Unfurnished,East,3966.0,47.0,6.0
"2 BHK Apartment for Sale in Orchid Fantasia, Palanpur Surat",Super Area,1250.0,Orchid Fantasia,New Property,Unfurnished,Unknown,Unknown,3600.0,45.0,5.0
"2 BHK Apartment for Sale in Anand Aspire, Jahangirabad Surat",Super Area,1265.0,Unfurnished,Poss. by Dec '25,New Property,Anand Aspire,Unknown,3411.0,43.2,5.0
3 BHK Villa for Sale in Dindoli Surat,Carpet Area,1404.0,Unfurnished,Poss. by Jun '24,New Property,East,Main Road,4691.5,42.1,5.0
  Office Space for Sale in Vesu Surat,Carpet Area,700.0,New Property,Poss. by Sep '25,7 out of 10,Unknown,Unknown,3392.0,44.1,7.0
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1180.0,Orchid Gardenia,New Property,Unfurnished,Unknown,Unknown,3751.0,44.3,5.0
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,720.0,New Property,Poss. by Dec '25,3 out of 14,Unfurnished,East,3200.0,40.0,3.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,748.0,New Property,Poss. by Dec '25,6 out of 13,Unfurnished,East,3235.0,44.0,6.0
1 BHK  House for Sale in Kim Surat,Carpet Area,480.0,Resale,Ready to Move,1 out of 1,Unfurnished,East,2315.0,12.5,1.0
2 BHK Apartment for Sale in NavYug College Surat,Carpet Area,1650.0,Resale,Ready to Move,7 out of 10,Unfurnished,East,3125.0,50.0,7.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,847.0,Resale,Ready to Move,1 out of 13,Furnished,East,5903.0,50.0,1.0
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1511.0,New Property,Poss. by Feb '26,5 out of 13,Unfurnished,North - East,2368.0,35.8,5.0
2 BHK Apartment for Sale in Bhatar Road Surat,Carpet Area,850.0,Resale,Ready to Move,4 out of 7,Furnished,South - East,4691.5,45.0,4.0
  Shop for Sale in Moti Begumwadi Surat,Carpet Area,180.0,Resale,Ready to Move,3 out of 3,Unknown,Unknown,14728.0,26.5,3.0
  Office Space for Sale in Nanpura Surat,Super Area,800.0,Resale,Ready to Move,2 out of 6,Unknown,Unknown,5250.0,42.0,2.0
3 BHK Apartment for Sale in Mota Varachha Surat,Carpet Area,1000.0,New Property,Ready to Move,3 out of 5,Furnished,East,3185.0,43.0,3.0
1 BHK Apartment for Sale in Ramnagar Surat,Carpet Area,731.0,Resale,Ready to Move,2 out of 5,Unfurnished,East,2736.0,20.0,2.0
  Office Space for Sale in Belgium Tower Ring Rode Surat,Carpet Area,816.0,Resale,Ready to Move,3 out of 12,Unknown,Unknown,4534.0,37.0,3.0
2 BHK Builder Floor for Sale in Amroli Surat,Carpet Area,950.0,Resale,Ready to Move,5 out of 5,Unfurnished,West,2829.0,29.0,5.0
2 BHK Apartment for Sale in Palan Pur Patiya Surat,Super Area,1150.0,Unfurnished,1 out of 7,Resale,Unknown,Unknown,3304.0,38.0,5.0
1 BHK  House for Sale in Palsana Surat,Carpet Area,432.0,New Property,Ready to Move,Ground out of 1,Unfurnished,West,3009.0,13.0,1.0
  Shop for Sale in Ghod Dod Road Surat,Carpet Area,350.0,Resale,Ready to Move,Lower Basement out of 7,Unknown,Unknown,12857.0,45.0,7.0
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,910.0,Resale,Ready to Move,1 out of 5,Unfurnished,East,2857.0,40.0,1.0
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,650.0,Unfurnished,Ready to Move,New Property,East,Main Road,4150.0,46.5,5.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1250.0,New Property,Ready to Move,7 out of 14,Unfurnished,South -West,3325.0,41.6,7.0
3 BHK Villa for Sale in Masma Village Surat,Carpet Area,1480.0,Unfurnished,Poss. by Jul '24,New Property,East,Freehold,2264.0,33.5,5.0
2 BHK Apartment for Sale in Shivalik Height Surat,Super Area,1105.0,Resale,Ready to Move,9 out of 14,Unfurnished,South -West,3842.0,42.5,9.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1305.0,New Property,Poss. by Dec '26,5 out of 12,Unfurnished,East,3678.0,48.0,5.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1290.0,Resale,Ready to Move,5 out of 13,Furnished,East,3488.0,45.0,5.0
2 BHK Apartment for Sale in Bamroli Surat,Super Area,975.0,New Property,Poss. by Apr '25,6 out of 13,Unfurnished,South - East,3282.0,32.0,6.0
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1250.0,New Property,Ready to Move,7 out of 14,Unfurnished,East,2800.0,35.0,7.0
2 BHK Apartment for Sale in Godadara Surat,Carpet Area,725.0,New Property,Poss. by Jan '25,7 out of 14,Unfurnished,South -West,3500.0,46.2,7.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1558.0,Resale,Ready to Move,1 out of 5,Unfurnished,North - East,3017.0,47.0,1.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,727.0,New Property,Ready to Move,7 out of 13,Unfurnished,East,3075.0,38.5,7.0
  Plot/Land for Sale in Bhatpore Surat,Plot Area,120.0,Congo,Freehold,Resale,Unknown,Garden/Park,35000.0,42.0,5.0
  Shop for Sale in Kosamba Surat,Carpet Area,425.0,Resale,Ready to Move,1 out of 2,Unknown,Unknown,4706.0,20.0,1.0
  Office Space for Sale in Udhna Surat,Carpet Area,396.0,Resale,Ready to Move,2 out of 10,3,Unknown,5808.0,23.0,2.0
  Plot/Land for Sale in Narthan Surat,Plot Area,1055.0,Resale,21 X 50.2,Freehold,Unknown,Unknown,2275.0,24.0,5.0
1 BHK Apartment for Sale in Jahangirabad Surat,Super Area,735.0,Resale,Ready to Move,12 out of 14,Unfurnished,Main Road,3810.0,28.0,12.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1326.0,Resale,Ready to Move,9 out of 14,Unfurnished,East,3771.0,50.0,9.0
  Office Space for Sale in Vesu Surat,Super Area,510.0,New Property,Poss. by Dec '25,3 out of 12,"1 Covered,",Unknown,7000.0,35.7,3.0
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1178.0,Resale,Ready to Move,10 out of 14,Unfurnished,East,3099.0,36.5,10.0
3 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1900.0,Resale,Ready to Move,7 out of 14,Unfurnished,South -West,2632.0,50.0,7.0
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,80.0,Resale,Ready to Move,2 out of 12,Unfurnished,East,4691.5,36.0,2.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1600.0,Resale,Ready to Move,3 out of 12,Unfurnished,3,2724.0,43.6,3.0
  Shop for Sale in Rajhnsh platinum plaza Surat,Super Area,445.0,Resale,Ready to Move,1 out of 4,2 Covered,Unknown,5618.0,25.0,1.0
2 BHK Apartment for Sale in Bamroli Surat,Carpet Area,680.0,New Property,Poss. by Jan '26,6 out of 14,Unfurnished,East,3747.0,46.5,6.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,721.0,Resale,Ready to Move,3 out of 5,Semi-Furnished,East,2936.0,32.0,3.0
  Office Space for Sale in Nanpura Surat,Carpet Area,400.0,Resale,Ready to Move,2 out of 5,1 Covered,Unknown,5578.0,41.0,2.0
2 BHK Apartment for Sale in Swagat Home Surat,Carpet Area,545.0,Resale,Poss. by Dec '24,13 out of 14,Unfurnished,East,3451.0,33.5,13.0
1 BHK Apartment for Sale in Palanpur Surat,Super Area,813.0,New Property,Poss. by Aug '25,4 out of 14,Unfurnished,East,3507.0,28.5,4.0
1 BHK Apartment for Sale in Palanpur Surat,Super Area,990.0,New Property,Poss. by Jul '24,5 out of 13,Unfurnished,East,2828.0,28.0,5.0
1 BHK Apartment for Sale in Jahangir Pura Surat,Carpet Area,500.0,Resale,Ready to Move,5 out of 12,Furnished,East,3636.0,28.0,5.0
2 BHK  House for Sale in Nansad Surat,Carpet Area,42.0,Resale,Ready to Move,Ground out of 1,Unfurnished,East,1951.0,9.0,1.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,970.0,Resale,Ready to Move,6 out of 10,Semi-Furnished,East,3093.0,30.0,6.0
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1180.0,Resale,Ready to Move,5 out of 5,Unfurnished,Unknown,2712.0,32.0,5.0
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,750.0,Resale,Ready to Move,3 out of 5,Unfurnished,East,3304.0,38.0,3.0
2 BHK Apartment for Sale in Shardhaa Surat,Carpet Area,1100.0,Resale,Ready to Move,2 out of 5,Furnished,East,4691.5,40.0,2.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,1000.0,Resale,Ready to Move,2 out of 4,Furnished,East,3951.0,39.5,2.0
1 BHK Apartment for Sale in Bhesan Road Surat,Super Area,813.0,New Property,Poss. by Feb '25,7 out of 14,Unfurnished,East,3567.0,29.0,7.0
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,550.0,Resale,Ready to Move,5 out of 5,Unfurnished,East,3636.0,20.0,5.0
1 BHK Apartment for Sale in Bhatar Surat,Super Area,800.0,Resale,Ready to Move,1 out of 4,Furnished,Unknown,3750.0,30.0,1.0
  Office Space for Sale in Katar Gam Surat,Super Area,280.0,Resale,Ready to Move,1 out of 4,Unknown,Unknown,12857.0,36.0,1.0
1 BHK Apartment for Sale in Adajan Surat,Carpet Area,450.0,Resale,Ready to Move,1 out of 5,Unfurnished,Unknown,3909.0,21.5,1.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,1250.0,Resale,Ready to Move,2 out of 4,Furnished,Unknown,3600.0,45.0,2.0
2 BHK Builder Floor for Sale in Varachha Surat,Super Area,800.0,Resale,Ready to Move,3 out of 4,Unfurnished,Unknown,1312.0,10.5,3.0
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1267.0,Resale,Ready to Move,2 out of 4,Furnished,North - West,3946.0,50.0,2.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,1200.0,Furnished,3 out of 10,Resale,Freehold,Unknown,3333.0,40.0,5.0
1 BHK  House for Sale in Kadodara Surat,Carpet Area,600.0,Unfurnished,Ready to Move,Resale,East,Main Road,3000.0,18.0,5.0
